license_type,license_prefix,license_number,name,address,city,township,sanitarian,area,phone
SFE,4781,028395,CREEKSIDE INTERMEDIATE SCHOOL,"2615 BAKER ROAD",DEXTER,SCIO,Sherwin,"Dexter Community S","(734) 424-4186"
SFE,4781,028400,BURGER KING #472,"4885 WASHTENAW",ANN ARBOR,,Yet,"Burger King chain",734-434-8994
SFE,4781,028407,CLEARY'S PUB,"113 S. MAIN ST",CHELSEA,,Hauck,"01 PB Area Chelsea",734-475-1922
SFE,4781,028409,PADDOCK ELEMENTARY,"707 MARVIN STREET",MILAN,,Hansell,"Milan Area Schools","(734) 439-5137"
SFE,4781,028410,MILAN MIDDLE SCHOOL,"920 NORTH STREET",MILAN,,Hansell,"Milan Area Schools","(734) 439-5224"
SFE,4781,028415,CHELSEA COMMUNITY CENTER,"500 WASHINGTON",CHELSEA,,Hansell,"Chelsea Community",734-433-2201
SFE,4781,028417,UPTOWN CONEY ISLAND CHELSEA,"1555 S. MAIN ST",CHELSEA,,Sherwin,"Uptown Coney Chain",734-433-1012
SFE,4781,028420,SCOREKEEPERS,"310 MAYNARD ST",ANN ARBOR,,Sherwin,"05 VD Area UM Cam",734-263-5775
SFE,4781,028422,TAP ROOM,"201 W. MICHIGAN AVENUE",YPSILANTI,,Pearson,"10 SM Area Mich Ave",734-482-5320
SFE,4781,028425,ZAL GAZ GROTTO,"2070 W. STADIUM BLVD",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-663-1202
SFE,4781,028429,CAFE ZOLA,"112 W. WASHINGTON",ANN ARBOR,,Yet,"15 SM Area Washng",734-769-2020
SFE,4781,028434,ARBY'S ROAST BEEF #615,"3015 WASHTENAW",YPSILANTI,,Kamenec,"Arby's chain",734-434-4760
SFE,4781,028435,AUBREE'S SALOON,"39 E. CROSS ST #41",YPSILANTI,,Pearson,"Aubree's Chain",734-483-1870
SFE,4781,028445,NORTHSIDE GRILL,"1015 BROADWAY",ANN ARBOR,,Yet,"06 CW Area Plymth F",734-995-0965
SFE,4781,028446,RELISH,"610 HILTON BLVD",ANN ARBOR,,Hansell,"08 CH Area Manches",734-761-7800
SFE,4781,028450,PACIFIC RIM BY KANA,"114 W. LIBERTY",ANN ARBOR,,Yet,"15 SM Area Washng",734-662-9303
SFE,4781,028452,KATHERINE'S CATERING,"359 METTY DR",ANN ARBOR,SCIO,Kamenec,"16 CW Area Jackson",734-930-4270
SFE,4781,028454,"WEBER'S DINING, KITCHEN, VENTURA","3050 JACKSON ROAD",ANN ARBOR,,Hansell,"11 RS Area Stadium",734-794-2274
SFE,4781,028455,PIONEER HIGH SCHOOL CAFETERIA,"601 W. STADIUM BLVD",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
SFE,4781,028456,SCARLETT JR HIGH CAFETERIA,"3300 LORRAINE STREET",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2250
SFE,4781,028458,OLD TOWN TAVERN,"122 W. LIBERTY",ANN ARBOR,,Yet,"15 SM Area Washng",734-662-9291
SFE,4781,028466,WASHTENAW MILK & ICE CREAM,"602 S. ASHLEY ST",ANN ARBOR,,Yet,"12 SM Area Dwntwn",734-662-3244
SFE,4781,028467,ST. MARY CATHOLIC CHURCH,"14200 E OLD U.S. 12",CHELSEA,,Hauck,"01 PB Area Chelsea",734-475-7561
SFE,4781,028470,POWELL'S PUB,"625 N. HURON ST",YPSILANTI,,Deedler,"13 RS Area EMU & C",734-484-1484
SFE,4781,028477,DEXTER'S PUB,"8114 MAIN ST",DEXTER,,Matranga,"02 VD Area Dexter",734-426-1234
SFE,4781,028481,DCH CATERING,"223 E. MAIN STREET",MANCHESTER,,Hauck,"08 CH Area Manches",734-428-9526
SFE,4781,028482,VILLAGE TAP,"237 Ε. ΜΑΙN ST",MANCHESTER,,Hauck,"08 CH Area Manches","(734) 428-7002"
SFE,4781,028493,DAN'S DOWNTOWN TAVERN,"103 E. MICHIGAN AVENUE",SALINE,,Yet,"07 CH Area Saline",734-429-3159
SFE,4781,028495,ARK, THE,"316 S. MAIN ST",ANN ARBOR,,Sherwin,"14 RS Area Main Stre",734-761-1800
SFE,4781,028497,SALINE MIDDLE SCHOOL,"7190 Ν ΜΑPLE",SALINE,,Yet,"Saline Community Sc","(734) 401-4350"
SFE,4781,028500,"BILL'S, INC.","1292 E. MICHIGAN AVENUE",YPSILANTI,YPSILANTI,Pearson,"18 CW Area Whittker",734-485-2831
SFE,4781,028506,LAKEWOOD ELEMENTARY SCHOOL,"344 GRALAKE",ANN ARBOR,,Kamenec,"Ann Arbor Public Sch",734-994-2265
